Model,Accuracy,Accuracy_Fixed_Testing,F1,F1_Fixed_Testing,Epochs,Epochs_Fixed_Testing,Base_Model_Class,FT/Direct_Classes,FT/T_Instance_per_class,Model_Type,Overlapping
240 Class ISL Base Model,0.6079,0.6079,,,,,240,,,BASE,No
200 Class ISL Base Model ,0.6247,0.6247,,,,,200,,,BASE,No
160 Class ISL Base Model,0.6478,0.6478,,,,,160,,,BASE,No
120 Class ISL Base Model,0.6173,0.6173,,,,,120,,,BASE,No
80 Class ISL Base Model,0.6468,0.6468,,,,,80,,,BASE,No
80 Class ISL Base Model (Overlapping class with SSL Dataset),0.6206,0.6206,,,,,80,,,BASE,Yes
80 Class ISL Base Model (Movment Overlapping class with SSL Dataset),0.6905,0.6905,,,,,80,,,BASE,Movement
240 Class ISL Base Model Finetuned with 64 Class SSL- 6 Instance per Class (5 runs avg),0.7746 (±0.0129),0.7616 (±0.0188),0.7663 (±0.0167),0.7595 (±0.0216),83.8000 (±9.9880),63.6000 (±15.5512),240,64,6,FINETUNED,No
200 Class ISL Base Model Finetuned with 64 Class SSL- 6 Instance Per Class (5 runs avg),0.7272 (±0.0089),0.7670 (±0.0189),0.7213 (±0.0095),0.7595 (±0.0207),62.0000 (±7.6942),84.2000 (±18.8616),200,64,6,FINETUNED,No
160 Class ISL Base Model Finetuned with 64 Class SSL- 6 Instance Per Class (5 runs avg),0.7629 (±0.0310),0.7522 (±0.0224),0.7552 (±0.0326),0.7498 (±0.0215),75.4000 (±10.8922),73.0000 (±10.2372),160,64,6,FINETUNED,No
120 Class ISL Base Model Finetuned with 64 Class SSL- 6 Instance Per Class (5 runs avg),0.7067 (±0.0104),0.7429 (±0.0274),0.6972 (±0.0100),0.7408 (±0.0292),82.2000 (±12.3839),82.8000 (±17.5431),120,64,6,FINETUNED,No
80 Class ISL Base Model Finetuned with 64 Class SSL- 6 Instance Per Class (5 runs avg),0.7679 (±0.0149),0.7830 (±0.0134),0.7640 (±0.0150),0.7739 (±0.0172),104.6000 (±14.1789),101.4000 (±11.8423),80,64,6,FINETUNED,No
80 Class ISL Base Model  (Overlapping) Finetuned with 64 Class SSL- 6 Instance Per Class (5 runs avg),0.7286 (±0.0237),0.7536 (±0.0128),0.7201 (±0.0244),0.7465 (±0.0125),100.6000 (±13.5735),103.2000 (±4.8744),80,64,6,FINETUNED,Yes
80 Class ISL Base Model  (Movement Overlapping) Finetuned with 64 Class SSL- 6 Instance Per Class (5 runs avg),,0.7455 (±0.0180),,0.7421 (±0.0195),,90.4000 (±9.1345),80,64,6,FINETUNED,Movement
240 Class ISL Base Model Finetuned with 64 Class SSL- 4 Instance per Class (5 runs avg),0.6457 (±0.0205),0.6612 (±0.0296),0.6401 (±0.0200),0.6484 (±0.0284),74.0000 (±11.0272),66.8000 (±7.4135),240,64,4,FINETUNED,No
200 Class ISL Base Model Finetuned with 64 Class SSL- 4 Instance Per Class (5 runs avg),0.6242 (±0.0285),0.6536 (±0.0273),0.6185 (±0.0279),0.6447 (±0.0272),73.2000 (±10.1666),82.0000 (±6.6332),200,64,4,FINETUNED,No
160 Class ISL Base Model Finetuned with 64 Class SSL- 4 Instance Per Class (5 runs avg),0.6832 (±0.0251),0.6674 (±0.0123),0.6836 (±0.0233),0.6572 (±0.0113),90.6000 (±16.8950),101.0000 (±19.0578),160,64,4,FINETUNED,No
