Model,Accuracy,F1,Epochs,Base_Model_Class,FT/Direct_Classes,FT/T_Instance_per_class,Model_Type,Overlapping
240 Class ISL Base Model,0.6079,,,240,,,BASE,No
200 Class ISL Base Model ,0.6247,,,200,,,BASE,No
160 Class ISL Base Model,0.6478,,,160,,,BASE,No
120 Class ISL Base Model,0.6173,,,120,,,BASE,No
80 Class ISL Base Model,0.6468,,,80,,,BASE,No
80 Class ISL Base Model (Overlapping class with SSL Dataset),0.6206,,,80,,,BASE,Yes
240 Class ISL Base Model Finetuned with 64 Class SSL- 6 Instance per Class (5 runs avg),0.7746 (±0.0129),0.7663 (±0.0167),83.8000 (±9.9880),240,64,6,FINETUNED,No
200 Class ISL Base Model Finetuned with 64 Class SSL- 6 Instance Per Class (5 runs avg),0.7272 (±0.0089),0.7213 (±0.0095),62.0000 (±7.6942),200,64,6,FINETUNED,No
160 Class ISL Base Model Finetuned with 64 Class SSL- 6 Instance Per Class (5 runs avg),0.7629 (±0.0310),0.7552 (±0.0326),75.4000 (±10.8922),160,64,6,FINETUNED,No
120 Class ISL Base Model Finetuned with 64 Class SSL- 6 Instance Per Class (5 runs avg),0.7067 (±0.0104),0.6972 (±0.0100),82.2000 (±12.3839),120,64,6,FINETUNED,No
80 Class ISL Base Model Finetuned with 64 Class SSL- 6 Instance Per Class (5 runs avg),0.7679 (±0.0149),0.7640 (±0.0150),104.6000 (±14.1789),80,64,6,FINETUNED,No
80 Class ISL Base Model  (Overlapping) Finetuned with 64 Class SSL- 6 Instance Per Class (5 runs avg),0.7286 (±0.0237),0.7201 (±0.0244),100.6000 (±13.5735),80,64,6,FINETUNED,Yes
240 Class ISL Base Model Finetuned with 64 Class SSL- 4 Instance per Class (5 runs avg),0.6457 (±0.0205),0.6401 (±0.0200),74.0000 (±11.0272),240,64,4,FINETUNED,No
200 Class ISL Base Model Finetuned with 64 Class SSL- 4 Instance Per Class (5 runs avg),0.6242 (±0.0285),0.6185 (±0.0279),73.2000 (±10.1666),200,64,4,FINETUNED,No
160 Class ISL Base Model Finetuned with 64 Class SSL- 4 Instance Per Class (5 runs avg),0.6832 (±0.0251),0.6836 (±0.0233),90.6000 (±16.8950),160,64,4,FINETUNED,No
120 Class ISL Base Model Finetuned with 64 Class SSL- 4 Instance Per Class (5 runs avg),0.6062 (±0.0142),0.6043 (±0.0145),77.2000 (±7.9599),120,64,4,FINETUNED,No
80 Class ISL Base Model Finetuned with 64 Class SSL- 4 Instance Per Class (5 runs avg),0.6426 (±0.0092),0.6401 (±0.0103),85.4000 (±11.7405),80,64,4,FINETUNED,No
80 Class ISL Base Model  (Overlapping) Finetuned with 64 Class SSL- 4 Instance Per Class (5 runs avg),0.6527 (±0.0095),0.6464 (±0.0121),97.0000 (±11.6962),80,64,4,FINETUNED,Yes
240 Class ISL Base Model Finetuned with 64 Class SSL- 3 Instance per Class (5 runs avg),0.5654 (±0.0245),0.5554 (±0.0290),81.2000 (±12.2540),240,64,3,FINETUNED,No
200 Class ISL Base Model Finetuned with 64 Class SSL- 3 Instance Per Class (5 runs avg),0.5588 (±0.0295),0.5564 (±0.0279),80.0000 (±6.6933),200,64,3,FINETUNED,No
160 Class ISL Base Model Finetuned with 64 Class SSL- 3 Instance Per Class (5 runs avg),0.5625 (±0.0131),0.5643 (±0.0132),69.4000 (±6.8877),160,64,3,FINETUNED,No
120 Class ISL Base Model Finetuned with 64 Class SSL- 3 Instance Per Class (5 runs avg),0.5588 (±0.0281),0.5514 (±0.0308),82.6000 (±11.2534),120,64,3,FINETUNED,No
