gloss1,gloss2,video2,dtw_distance
Again,Store or Shop,../all_outputs/output_include/Places/Store or Shop/MVI_3555.pkl,126.97973029850128
Age,Month,../all_outputs/output_include/Days_and_Time/Month/MVI_5487.pkl,87.4052943259594
Big,Month,../all_outputs/output_include/Days_and_Time/Month/MVI_5487.pkl,85.92135596621574
Can?,Month,../all_outputs/output_include/Days_and_Time/Month/MVI_5487.pkl,118.67378291068977
Children,Month,../all_outputs/output_include/Days_and_Time/Month/MVI_5487.pkl,86.86604647233001
Class,Month,../all_outputs/output_include/Days_and_Time/Month/MVI_5487.pkl,122.19141158582985
Dialog box,Box,../all_outputs/output_include/Home/Box/MVI_9076.pkl,85.3928464089811
Do,Month,../all_outputs/output_include/Days_and_Time/Month/MVI_5487.pkl,117.57440200788878
English,Dog,../all_outputs/output_include/Animals/Dog/MVI_3085.pkl,86.3012684588756
Exam,Month,../all_outputs/output_include/Days_and_Time/Month/MVI_5487.pkl,118.38389390213624
Go,Month,../all_outputs/output_include/Days_and_Time/Month/MVI_5487.pkl,90.62645715701251
Good,Wednesday,../all_outputs/output_include/Days_and_Time/Wednesday/MVI_5017.pkl,92.57843615405696
Hello,Month,../all_outputs/output_include/Days_and_Time/Month/MVI_5487.pkl,91.75707210184925
Holiday,Month,../all_outputs/output_include/Days_and_Time/Month/MVI_5487.pkl,114.83337942212825
House,Month,../all_outputs/output_include/Days_and_Time/Month/MVI_5487.pkl,124.43822270749253
How,Store or Shop,../all_outputs/output_include/Places/Store or Shop/MVI_3555.pkl,122.11196387949921
How_many,Store or Shop,../all_outputs/output_include/Places/Store or Shop/MVI_3555.pkl,119.47718777405704
It,Store or Shop,../all_outputs/output_include/Places/Store or Shop/MVI_3555.pkl,127.81984945709085
Learn,Month,../all_outputs/output_include/Days_and_Time/Month/MVI_5487.pkl,95.29174424160365
Learn?,Store or Shop,../all_outputs/output_include/Places/Store or Shop/MVI_3555.pkl,117.42162892852645
