gloss1,gloss2,video1,video2,dtw_distance
Children,Price,../all_outputs/output_ssl_small/Children/1-2-w01720221103121056.mp4_1.pkl,../all_outputs/output_include/Society/Price/MVI_8736.pkl,56.6672188783352
Stay?,Ball,../all_outputs/output_ssl_small/Stay?/3-5-w05420221216134811.mp4_1.pkl,../all_outputs/output_include/Society/Ball/MVI_8730.pkl,59.543731401717615
Talk,Ball,../all_outputs/output_ssl_small/Talk/3-5-w03520221216131823.mp4_1.pkl,../all_outputs/output_include/Society/Ball/MVI_8730.pkl,60.133106432299144
See?,Pencil,../all_outputs/output_ssl_small/See?/4-5-w05520221216134855.mp4_1.pkl,../all_outputs/output_include/Home/Pencil/MVI_8788.pkl,60.9744181931098
Report,Ball,../all_outputs/output_ssl_small/Report/4-1-w02120221216122740.mp4_1.pkl,../all_outputs/output_include/Society/Ball/MVI_8730.pkl,62.03502405156466
You,Ball,../all_outputs/output_ssl_small/You/4-4-w00220221216115823.mp4_1.pkl,../all_outputs/output_include/Society/Ball/MVI_8730.pkl,63.37524745262462
See?,Ball,../all_outputs/output_ssl_small/See?/4-5-w05520221216134855.mp4_1.pkl,../all_outputs/output_include/Society/Ball/MVI_8730.pkl,63.48823511005226
Stay?,Pencil,../all_outputs/output_ssl_small/Stay?/3-5-w05420221216134811.mp4_1.pkl,../all_outputs/output_include/Home/Pencil/MVI_8788.pkl,63.61609474713807
Talk,Pencil,../all_outputs/output_ssl_small/Talk/3-5-w03520221216131823.mp4_1.pkl,../all_outputs/output_include/Home/Pencil/MVI_8788.pkl,63.79155108388602
Children,Letter,../all_outputs/output_ssl_small/Children/1-2-w01720221103121056.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8825.pkl,63.83220323287845
Little,Pencil,../all_outputs/output_ssl_small/Little/1-5-w01220221103112023.mp4_1.pkl,../all_outputs/output_include/Home/Pencil/MVI_8788.pkl,63.862392915143836
Relationship,Ball,../all_outputs/output_ssl_small/Relationship/1-3-w02320221103122040.mp4_1.pkl,../all_outputs/output_include/Society/Ball/MVI_8730.pkl,64.09267023527329
Holiday,Ball,../all_outputs/output_ssl_small/Holiday/1-3-w06220221103120650.mp4_1.pkl,../all_outputs/output_include/Society/Ball/MVI_8730.pkl,64.41393837193237
