gloss1,gloss2,video1,video2,dtw_distance
Make,Fish,../all_outputs/output_ssl_small/Make/3-3-w03820221216132308.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8565.pkl,54.68481787610671
Staying,Fish,../all_outputs/output_ssl_small/Staying/3-5-w03220221216131429.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8566.pkl,56.55093614632778
See,Fish,../all_outputs/output_ssl_small/See/3-2-w04020221216132441.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8565.pkl,61.336233192259236
What,Ball,../all_outputs/output_ssl_small/What/3-5-w05020221216134127.mp4_1.pkl,../all_outputs/output_include/Society/Ball/MVI_8730.pkl,62.323777919974766
Children,Letter,../all_outputs/output_ssl_small/Children/4-1-w01720221216121716.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8824.pkl,63.070517812763626
Yes,Ball,../all_outputs/output_ssl_small/Yes/4-3-w06320221216140203.mp4_1.pkl,../all_outputs/output_include/Society/Ball/MVI_8730.pkl,65.6468038864278
Thank_You,Fish,../all_outputs/output_ssl_small/Thank_You/1-3-w04720221103114732.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8565.pkl,65.94714612450879
Make,Chair,../all_outputs/output_ssl_small/Make/3-3-w03820221216132308.mp4_1.pkl,../all_outputs/output_include/Home/Chair/MVI_8756.pkl,67.28669295997138
Make,Letter,../all_outputs/output_ssl_small/Make/3-3-w03820221216132308.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8822.pkl,67.369037989391
Big,Medicine,../all_outputs/output_ssl_small/Big/3-3-w01020221216120836.mp4_1.pkl,../all_outputs/output_include/Society/Medicine/MVI_8668.pkl,70.8375515855173
Staying,Paper,../all_outputs/output_ssl_small/Staying/3-5-w03220221216131429.mp4_1.pkl,../all_outputs/output_include/Home/Paper/MVI_8829.pkl,71.91206219910246
Talk,Letter,../all_outputs/output_ssl_small/Talk/5-2-w03520221216131715.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8822.pkl,72.93448923304975
Hello,Book,../all_outputs/output_ssl_small/Hello/4-5-w03920221216132418.mp4_1.pkl,../all_outputs/output_include/Home/Book/MVI_8804.pkl,75.52932301626792
Children,Fish,../all_outputs/output_ssl_small/Children/1-2-w01720221103121056.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_3093.pkl,76.94957594014654
Learn,Fish,../all_outputs/output_ssl_small/Learn/2-4-w03420221110104038.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8565.pkl,77.2443597105045
Thank_You,Cat,../all_outputs/output_ssl_small/Thank_You/4-3-w04720221216133242.mp4_1.pkl,../all_outputs/output_include/Animals/Cat/MVI_8562.pkl,77.38483071898072
Big,Letter,../all_outputs/output_ssl_small/Big/3-3-w01020221216120836.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8824.pkl,77.42000434935755
Thank_You,Bathroom,../all_outputs/output_ssl_small/Thank_You/1-3-w04720221103114732.mp4_1.pkl,../all_outputs/output_include/Home/Bathroom/MVI_8783.pkl,77.82145492863901
Children,Wednesday,../all_outputs/output_ssl_small/Children/4-4-w01720221216121840.mp4_1.pkl,../all_outputs/output_include/Days_and_Time/Wednesday/MVI_5457.pkl,78.90547343532988
Age,Cat,../all_outputs/output_ssl_small/Age/4-2-w02820221216124135.mp4_1.pkl,../all_outputs/output_include/Animals/Cat/MVI_8562.pkl,79.34920599233988
No,female,../all_outputs/output_ssl_small/No/4-4-w04220221216132716.mp4_1.pkl,../all_outputs/output_include/Adjectives/female/MVI_9645.pkl,79.39496828123748
Again,Sign,../all_outputs/output_ssl_small/Again/3-4-w03120221216131256.mp4_1.pkl,../all_outputs/output_include/Society/Sign/MVI_8741.pkl,79.66231194042801
Can?,Letter,../all_outputs/output_ssl_small/Can?/4-5-w05320221216134711.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8824.pkl,80.16098732212362
It,Sign,../all_outputs/output_ssl_small/It/3-4-w00720221216120451.mp4_1.pkl,../all_outputs/output_include/Society/Sign/MVI_8741.pkl,80.75161110912931
Again,Medicine,../all_outputs/output_ssl_small/Again/3-4-w03120221216131256.mp4_1.pkl,../all_outputs/output_include/Society/Medicine/MVI_8668.pkl,80.77850922623225
See,Box,../all_outputs/output_ssl_small/See/3-3-w04020221216132449.mp4_1.pkl,../all_outputs/output_include/Home/Box/MVI_8844.pkl,80.84788318158009
Can?,Grey,../all_outputs/output_ssl_small/Can?/4-3-w05320221216134654.mp4_1.pkl,../all_outputs/output_include/Colours/Grey/MVI_8621.pkl,81.55683628176558
Dialog box,Fish,../all_outputs/output_ssl_small/Dialog box/2-3-w02420221110102439.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_3093.pkl,81.73961372129521
Make,Market,../all_outputs/output_ssl_small/Make/3-3-w03820221216132308.mp4_1.pkl,../all_outputs/output_include/Places/Market/MVI_3489.pkl,81.77166145203613
Today,Fish,../all_outputs/output_ssl_small/Today/4-2-w01320221216121228.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8566.pkl,82.11827794689924
See,Laptop,../all_outputs/output_ssl_small/See/3-2-w04020221216132441.mp4_1.pkl,../all_outputs/output_include/Electronics/Laptop/MVI_4546.pkl,82.14807634589211
How,Adult,../all_outputs/output_ssl_small/How/1-4-w04820221103114840.mp4_1.pkl,../all_outputs/output_include/People/Adult/MVI_8647.pkl,82.72463163412378
Tuesday,Fish,../all_outputs/output_ssl_small/Tuesday/1-2-w02720221103122714.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_3093.pkl,83.1521223413376
