ssl_gloss,predicted_include_gloss
To_You,Bird
To_You,President
To_You,Chair
To_You,Chair
To_You,President
To_You,fast
To_You,Bird
To_You,Chair
To_You,Waiter
To_You,Chair
To_You,Yesterday
To_You,Chair
To_You,Bird
To_You,Chair
To_You,Bird
To_You,Suit
To_You,Bathroom
To_You,President
To_You,Sign
To_You,Chair
Where,Chair
Where,Chair
Where,Chair
Where,tall
Where,Bird
Where,Bird
Where,Bed
Where,Bathroom
Where,tall
Where,Key
Where,Bird
Where,Chair
Where,Chair
Where,Key
Where,tall
Where,Pencil
Where,Chair
Where,Chair
Where,Bird
Where,Key
Please,Chair
Please,Bird
Please,Chair
Please,Chair
Please,Chair
Please,Bird
Please,Bird
Please,fast
Please,fast
Please,Chair
Please,Chair
Please,Bird
Please,fast
Please,Chair
Please,fast
Please,Bird
Please,Chair
Please,Chair
Please,Chair
Please,Chair
Dialog box,loud
Dialog box,healthy
Dialog box,healthy
Dialog box,Dog
Dialog box,healthy
Dialog box,Dog
Dialog box,Dog
Dialog box,healthy
Dialog box,Bird
Dialog box,Bird
Dialog box,Bird
Dialog box,healthy
Dialog box,Bird
Dialog box,healthy
Dialog box,healthy
Dialog box,healthy
Dialog box,healthy
Dialog box,Dog
Dialog box,Bird
Dialog box,Dog
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,Radio
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Thank_You,T-Shirt
Mother,old
Mother,wide
Mother,Chair
Mother,Chair
Mother,Chair
Mother,old
Mother,Chair
Mother,old
Mother,Chair
Mother,tall
Mother,Chair
Mother,Lamp
Mother,tall
Mother,Lamp
Mother,Afternoon
Mother,Chair
Mother,Lamp
Mother,Chair
Mother,Chair
Mother,Chair
Now,Chair
Now,Chair
Now,Suit
Now,Tomorrow
Now,Chair
Now,Lamp
