ssl_gloss,predicted_include_gloss,count
Again,War,5
Again,Pencil,4
Again,Bathroom,3
Age,Bird,6
Age,Fish,6
Age,Animal,4
Big,Sport,5
Big,Paint,4
Big,Radio,3
Can?,Afternoon,15
Can?,Attack,4
Can?,tall,1
Children,Newspaper,8
Children,God,7
Children,Card,4
Class,Chair,11
Class,old,3
Class,Afternoon,2
Dialog box,healthy,9
Dialog box,Bird,5
Dialog box,Dog,5
Do,Chair,10
Do,Street_or_Road,5
Do,Fall,2
English,Animal,12
English,cold,2
English,Bird,1
Exam,Train,8
Exam,Chair,5
Exam,Afternoon,4
Go,War,18
Go,T-Shirt,2
Good,wide,12
Good,Bird,6
Good,Chair,1
Hello,I,7
Hello,Animal,6
Hello,Paper,4
Holiday,Chair,10
Holiday,Train,5
Holiday,old,4
House,old,7
House,Chair,6
House,Afternoon,4
How,happy,4
How,Chair,3
How,Hospital,3
How_many,Chair,12
How_many,Bed,4
How_many,Bird,2
It,Chair,8
It,Bathroom,7
It,fast,4
Learn,Brother,5
Learn,Soap,5
Learn,Animal,4
Learn?,Chair,4
Learn?,Street_or_Road,4
Learn?,happy,4
Little,Chair,14
Little,Suit,4
Little,Bathroom,1
Make,I,5
Make,Patient,5
Make,Fish,4
Me,Chair,9
Me,Kitchen,5
Me,Patient,3
Mother,Chair,10
Mother,Lamp,3
Mother,old,3
My,Animal,3
My,Chair,3
My,God,3
No,Chair,6
No,fast,5
No,Bird,2
Now,Chair,10
Now,Lamp,2
Now,Sign,2
Please,Chair,11
Please,Bird,5
Please,fast,4
Read,Bird,13
Read,big_large,3
Read,wide,3
Relationship,Chair,10
Relationship,Pencil,3
Relationship,Attack,2
Report,Chair,6
Report,Bird,5
Report,Suit,3
School,Chair,8
School,Bird,3
School,Suit,3
See,Train,13
See,Pleased,7
See?,Chair,4
See?,Bird,3
See?,Kitchen,3
Sinhala,Science,11
Sinhala,Bird,4
Sinhala,Chair,2
Sister,Chair,13
Sister,Bird,5
Sister,Suit,2
Sorry,Morning,4
Sorry,Chair,3
Sorry,War,3
Start,Fish,8
Start,Animal,4
Start,I,2
Stay?,Chair,5
Stay?,Pleased,4
Stay?,Sign,3
Staying,Animal,5
Staying,Fish,5
Staying,Election,3
Still,new,12
Still,Train,8
Talk,Chair,12
Talk,Attack,4
Talk,Afternoon,1
Talk?,Train,17
Talk?,Pant,1
Talk?,Street_or_Road,1
Teach,Chair,8
Teach,Bird,5
Teach,tall,3
Tell,Chair,8
Tell,Marriage,3
Tell,fast,3
Ten_People,Chair,6
Ten_People,Bed,4
Ten_People,Train,4
Thank_You,T-Shirt,19
Thank_You,Radio,1
There,Paper,8
There,Bathroom,5
There,Bird,2
To_You,Chair,7
To_You,Bird,4
To_You,President,3
Today,Chair,8
Today,Train,6
Today,Pleased,2
Tomorrow,Hour,11
Tomorrow,Science,5
Tomorrow,Actor,2
Tuesday,Bird,6
Tuesday,Actor,5
Tuesday,Exercise,4
Twenty,Chair,10
Twenty,Pleased,4
Twenty,War,2
Understand,Chair,6
Understand,Train,6
Understand,Ball,3
University,tall,5
University,Chair,4
University,old,4
Video,Year,8
Video,Pleased,3
Video,T-Shirt,3
What,Chair,11
What,Train,3
What,Bathroom,2
When,Bird,4
When,Morning,4
When,Chair,3
Where,Chair,7
Where,Bird,4
Where,Key,3
Write,Chair,5
Write,Bathroom,4
Write,Hospital,3
Yes,Chair,9
Yes,Afternoon,7
Yes,Train,3
You,Chair,10
You,Bird,5
You,Suit,4
Your,Bird,8
Your,Chair,5
Your,Afternoon,3
w064,War,7
w064,T-Shirt,5
w064,Bird,4
