ssl_gloss,predicted_include_gloss,count,video2
Thank_You,T-Shirt,19,../all_outputs/output_include/Clothes/T-Shirt/MVI_5023.pkl
Go,War,18,../all_outputs/output_include/Society/War/MVI_4832.pkl
Talk?,Train,17,../all_outputs/output_include/Means_of_Transportation/Train/MVI_8580.pkl
Can?,Afternoon,15,../all_outputs/output_include/Days_and_Time/Afternoon/MVI_9192.pkl
Little,Chair,14,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
See,Train,13,../all_outputs/output_include/Means_of_Transportation/Train/MVI_8580.pkl
Read,Bird,13,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
Sister,Chair,13,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
English,Animal,12,../all_outputs/output_include/Animals/Animal/MVI_8576.pkl
Good,wide,12,../all_outputs/output_include/Adjectives/wide/MVI_9311.pkl
Talk,Chair,12,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Still,new,12,../all_outputs/output_include/Adjectives/new/MVI_9423.pkl
How_many,Chair,12,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Please,Chair,11,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Class,Chair,11,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
What,Chair,11,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Sinhala,Science,11,../all_outputs/output_include/Society/Science/MVI_8742.pkl
Tomorrow,Hour,11,../all_outputs/output_include/Days_and_Time/Hour/MVI_5496.pkl
Relationship,Chair,10,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Holiday,Chair,10,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Now,Chair,10,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Twenty,Chair,10,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Mother,Chair,10,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Do,Chair,10,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
You,Chair,10,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Me,Chair,9,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Dialog box,healthy,9,../all_outputs/output_include/Adjectives/healthy/MVI_9446.pkl
Yes,Chair,9,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Your,Bird,8,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
It,Chair,8,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Tell,Chair,8,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
There,Paper,8,../all_outputs/output_include/Home/Paper/MVI_8829.pkl
Teach,Chair,8,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Children,Newspaper,8,../all_outputs/output_include/Society/Newspaper/MVI_8714.pkl
Start,Fish,8,../all_outputs/output_include/Animals/Fish/MVI_8565.pkl
Video,Year,8,../all_outputs/output_include/Days_and_Time/Year/MVI_4637.pkl
Today,Chair,8,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Exam,Train,8,../all_outputs/output_include/Means_of_Transportation/Train/MVI_8580.pkl
Still,Train,8,../all_outputs/output_include/Means_of_Transportation/Train/MVI_8580.pkl
School,Chair,8,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Hello,I,7,../all_outputs/output_include/Pronouns/I/MVI_9879.pkl
Children,God,7,../all_outputs/output_include/Society/God/MVI_8748.pkl
